REG_ANS,Trimestre,Ano,ValorDespesas
316903,1,2025,124677.97
318213,1,2025,9578642.82
314099,1,2025,50566553.02
315648,1,2025,11037437.84
313211,1,2025,30683296.16
314251,1,2025,17771323.75
315494,1,2025,8298927.19
315796,1,2025,106013723.71
317144,1,2025,628048750.62
317896,1,2025,8922170.38
313084,1,2025,11311383.14
314366,1,2025,806568.16
315044,1,2025,50566835.02
316849,1,2025,1680720.58
316997,1,2025,1532924.66
314668,1,2025,45234832.87
314315,1,2025,2726073.09
318299,1,2025,57502692.66
316873,1,2025,31969866.09
313475,1,2025,3534694.43
314218,1,2025,169576703.73
315567,1,2025,44647215.63
321273,1,2025,140101664.97
323055,1,2025,15657912.34
319996,1,2025,325879655.03
320706,1,2025,98591544.35
323942,1,2025,8882598.89
318477,1,2025,26388334.65
320862,1,2025,23954745.69
321044,1,2025,245019635.12
322326,1,2025,2646384.94
324299,1,2025,8188441.83
319180,1,2025,13005088.27
321320,1,2025,7167731.59
323357,1,2025,15769796.59
324175,1,2025,5754603.6
319708,1,2025,63831016.35
323080,1,2025,1224189803.85
323993,1,2025,43696113.83
318566,1,2025,34219043.08
321087,1,2025,12431292.61
321338,1,2025,435104.41
314706,1,2025,2606520.86
315265,1,2025,16646744.58
315729,1,2025,150834801.75
317012,1,2025,14434089.38
318035,1,2025,13766861.42
317233,1,2025,67366195.08
313751,1,2025,9347029.92
316148,1,2025,23947657.09
312851,1,2025,207320407.07
313149,1,2025,1612537.09
315583,1,2025,6815581.45
316881,1,2025,34219703.8
314242,1,2025,9054211.01
317632,1,2025,79274881.76
315478,1,2025,364078213.34
314587,1,2025,10402720.36
314781,1,2025,7763656.15
312720,1,2025,156380661.87
316458,1,2025,6736715.4
335789,1,2025,6105296.57
337498,1,2025,17291994.5
333239,1,2025,327877.36
335215,1,2025,31074591.17
336467,1,2025,3720371.32
331872,1,2025,155893583.45
333051,1,2025,56579286.04
335517,1,2025,19335150.68
335592,1,2025,274672266.16
335614,1,2025,348229978.42
337188,1,2025,67853975.58
336017,1,2025,1646750.07
334154,1,2025,19424752.98
335690,1,2025,733967058.55
337561,1,2025,3955105.21
336831,1,2025,30826123.79
334561,1,2025,165952615.89
335100,1,2025,299531883.53
335258,1,2025,5463962.69
333808,1,2025,14199446.3
335541,1,2025,19215848.32
331651,1,2025,18853216.42
337374,1,2025,63187066.26
331988,1,2025,105221473.72
333867,1,2025,3526107.01
336106,1,2025,81792709.21
334243,1,2025,1552783.22
333662,1,2025,38566184.38
335479,1,2025,98634264.65
335754,1,2025,26705614.17
336858,1,2025,20513161.55
334847,1,2025,3918374.24
335657,1,2025,6364905.83
333875,1,2025,12708670.32
343404,1,2025,430767.0
340952,1,2025,104047887.9
342033,1,2025,183408719.34
343765,1,2025,7160791.16
344141,1,2025,912829.78
338648,1,2025,54412445.11
340251,1,2025,17797777.18
342556,1,2025,52576876.21
343463,1,2025,17891827.33
344184,1,2025,886413.49
343722,1,2025,3123840.54
342131,1,2025,7008542.91
343056,1,2025,1014204.06
343269,1,2025,250136910.73
342343,1,2025,11509174.61
339458,1,2025,1084975.51
342611,1,2025,23187871.73
343676,1,2025,15127374.6
337871,1,2025,50162417.12
339954,1,2025,158596069.24
341819,1,2025,77318.87
343064,1,2025,21907361.5
320820,1,2025,10613737.74
322571,1,2025,28454734.58
320251,1,2025,53956546.13
321931,1,2025,8716081.01
324213,1,2025,703688.09
319384,1,2025,40914121.83
320897,1,2025,18974640.65
319872,1,2025,977782.98
321125,1,2025,4786366.8
323004,1,2025,3772775.0
323926,1,2025,20388450.87
318388,1,2025,24068168.69
320838,1,2025,225171.17
321958,1,2025,73818216.45
323268,1,2025,92513562.33
324159,1,2025,16410418.0
319121,1,2025,132203582.69
319422,1,2025,19734307.55
322831,1,2025,20892275.25
322890,1,2025,1184197.53
884,1,2025,82496034.5
477,1,2025,93880682.42
701,1,2025,1205194240.59
515,1,2025,7096486.67
5711,1,2025,7457669173.86
582,1,2025,1319460931.64
325465,1,2025,8838786.07
329886,1,2025,23629570.34
330809,1,2025,28991675.01
325031,1,2025,19511623.74
327689,1,2025,252571793.11
324493,1,2025,50304469.15
327468,1,2025,6258289.07
328308,1,2025,9871010.1
330264,1,2025,26849551.19
326755,1,2025,45638422.88
330892,1,2025,4631440.87
324345,1,2025,32602982.87
327352,1,2025,7087338.17
329339,1,2025,70412474.69
324523,1,2025,198.58
325236,1,2025,21381591.99
326305,1,2025,5320013593.04
325082,1,2025,3188270.48
327557,1,2025,25883369.57
330281,1,2025,11543820.44
417211,1,2025,16285548.66
417599,1,2025,23245064.99
417947,1,2025,33227214.11
416738,1,2025,18167399.28
417106,1,2025,571094.06
416525,1,2025,2547541.06
417220,1,2025,599121.58
417505,1,2025,136569411.1
417955,1,2025,14884275.22
418137,1,2025,6156864.69
415987,1,2025,1051624.06
416568,1,2025,39208907.06
417131,1,2025,389613.02
418129,1,2025,1425485.53
417297,1,2025,23301503.96
417475,1,2025,1941592.52
417530,1,2025,79987529.2
418021,1,2025,78079233.13
416584,1,2025,10961284.36
416801,1,2025,19055098.88
417815,1,2025,16229856.62
416398,1,2025,16400169.11
416428,1,2025,1053537.38
417661,1,2025,14500394.46
415944,1,2025,25919.95
417548,1,2025,43585275.35
417831,1,2025,811598.87
416410,1,2025,5965.44
416690,1,2025,18237936.28
416401,1,2025,45328501.42
416495,1,2025,17911315.86
418072,1,2025,537026.11
415936,1,2025,9629800.67
417491,1,2025,821312.65
419419,1,2025,8154111.43
419753,1,2025,1967815.52
419052,1,2025,13837570.36
419141,1,2025,26422662.84
419524,1,2025,311634.77
418617,1,2025,10840721.17
418218,1,2025,817683.67
418501,1,2025,2688043.91
418803,1,2025,20938135.77
419010,1,2025,97151125.76
419079,1,2025,14426.14
419427,1,2025,14305920.69
418650,1,2025,36316706.48
419150,1,2025,13607044.11
418226,1,2025,2677120.08
418994,1,2025,152781.96
419591,1,2025,1582541.58
419851,1,2025,2477142.7
418820,1,2025,11404058.95
419249,1,2025,119085600.76
419486,1,2025,14107653.46
419699,1,2025,9865963.2
418731,1,2025,17244812.56
418919,1,2025,11089044.41
419281,1,2025,485947.94
418374,1,2025,24766876.79
418587,1,2025,16756849.44
419028,1,2025,662811.41
419516,1,2025,7489460.18
418170,1,2025,91948117.85
418749,1,2025,1428839.03
415901,1,2025,352014.83
413372,1,2025,4767060.24
415243,1,2025,1068531.01
412252,1,2025,5821498.98
413747,1,2025,1024378.27
413160,1,2025,11632046.35
413283,1,2025,1044671.99
414573,1,2025,18484477.18
414689,1,2025,181850.51
413429,1,2025,4861957.51
414352,1,2025,31677645.55
415014,1,2025,22608827.3
411809,1,2025,2739619.16
414026,1,2025,1797608.68
415626,1,2025,5852962.1
411256,1,2025,117779074.5
412295,1,2025,19594663.92
413267,1,2025,818489.09
414701,1,2025,2048703.73
413518,1,2025,4641466.84
414581,1,2025,46240321.37
415111,1,2025,61834619.22
411868,1,2025,1837953.88
414387,1,2025,1396303.55
408794,1,2025,7756918.99
409405,1,2025,895068.22
397245,1,2025,251416.72
406481,1,2025,22089332.33
410128,1,2025,9757129.18
407534,1,2025,478448.91
408522,1,2025,343968.47
385697,1,2025,92960689.2
389854,1,2025,2976340.62
402206,1,2025,5299613.7
409413,1,2025,3149957.78
386901,1,2025,6608296.55
410292,1,2025,17099464.49
390259,1,2025,2039707.43
401081,1,2025,28854111.64
406554,1,2025,38201727.44
402966,1,2025,4778254.29
409634,1,2025,1980316.14
411248,1,2025,1301686.1
387185,1,2025,7661832.38
406945,1,2025,12551573.88
410608,1,2025,3262438.07
406635,1,2025,1938497.85
408026,1,2025,1008044.92
386588,1,2025,70554984.81
394734,1,2025,20181647.42
403962,1,2025,14399328.71
409243,1,2025,43198704.21
388092,1,2025,2074564.59
392804,1,2025,95285979.76
401480,1,2025,5995847.31
408034,1,2025,1219017.36
409791,1,2025,1499217.31
406805,1,2025,5137807.63
407011,1,2025,1671527.09
410624,1,2025,2129779.54
385620,1,2025,11518543.22
395480,1,2025,18062624.47
406937,1,2025,5185012.86
409286,1,2025,90940.11
404241,1,2025,4039046.38
408093,1,2025,902576.17
410110,1,2025,6629510.58
389358,1,2025,2470049.83
407224,1,2025,1140791.14
407569,1,2025,1699489.76
410888,1,2025,6810325.15
386596,1,2025,30440159.68
402001,1,2025,2644589.97
406813,1,2025,929200.72
408263,1,2025,2268864.04
415065,1,2025,11477004.23
412635,1,2025,5901435.79
414662,1,2025,3299209.22
414905,1,2025,3930553.55
415081,1,2025,601730.21
415693,1,2025,39521298.6
411752,1,2025,55536303.01
412015,1,2025,845364.74
412759,1,2025,6708834.7
413534,1,2025,223013526.13
414212,1,2025,6407809.12
414654,1,2025,1585683.55
411582,1,2025,14113163.94
413330,1,2025,9680561.76
415774,1,2025,39409187.52
414492,1,2025,40984908.36
414930,1,2025,23781357.41
415910,1,2025,621218.84
412058,1,2025,8042144.72
412996,1,2025,2175221.68
413721,1,2025,7471200.33
414310,1,2025,27174540.52
353663,1,2025,95707596.61
353876,1,2025,10035306.19
354066,1,2025,94217661.51
354511,1,2025,37821427.92
351792,1,2025,88076.09
352543,1,2025,34153131.6
352314,1,2025,20291586.39
354562,1,2025,41785372.2
350346,1,2025,5481426.31
354295,1,2025,53079685.47
350770,1,2025,1089676.35
350648,1,2025,8193213.08
351776,1,2025,7138221.99
351407,1,2025,31111696.36
353027,1,2025,16469547.46
353264,1,2025,5754950.58
352331,1,2025,269066965.79
352586,1,2025,16759328.02
331104,1,2025,1084699.55
331341,1,2025,53688518.88
330108,1,2025,27653378.26
324361,1,2025,58779300.54
324566,1,2025,18628240.88
325571,1,2025,238177897.83
326861,1,2025,73551777.82
328375,1,2025,6406115.28
329355,1,2025,11027809.05
327638,1,2025,4517679.06
328294,1,2025,23761669.24
331317,1,2025,72897411.63
327328,1,2025,282159.35
330566,1,2025,25730239.27
324477,1,2025,78780076.37
326500,1,2025,95209247.46
327417,1,2025,59455534.98
330116,1,2025,11095298.53
328537,1,2025,37641327.32
353698,1,2025,3911941.16
354031,1,2025,124873997.5
352179,1,2025,20022424.05
352519,1,2025,4075805.09
354279,1,2025,20298131.02
350371,1,2025,59617575.89
351202,1,2025,191025952.0
353353,1,2025,134337180.41
354325,1,2025,19761629.54
350249,1,2025,75318212.19
352683,1,2025,60148720.57
350494,1,2025,19879556.17
351270,1,2025,8079987.98
353060,1,2025,59400741.43
350699,1,2025,25783800.63
352501,1,2025,851988499.85
304131,1,2025,28161018.18
304395,1,2025,27739091.64
304484,1,2025,14295423.68
305421,1,2025,834787.73
6246,1,2025,6360692010.44
301574,1,2025,52519092.22
302147,1,2025,1414729129.27
301060,1,2025,14557179.87
301744,1,2025,16823670.56
302953,1,2025,98326890.27
303739,1,2025,49698090.18
300713,1,2025,29005674.43
304212,1,2025,2485208.98
304883,1,2025,59072644.98
304441,1,2025,4103796.56
304531,1,2025,2403405.88
302228,1,2025,6285381.92
303356,1,2025,120297038.66
304051,1,2025,25637777.07
301124,1,2025,8674214.82
311391,1,2025,2769928.51
311715,1,2025,33784242.51
311944,1,2025,7795606.64
305626,1,2025,6372970.05
309524,1,2025,7272764.04
311057,1,2025,64547.93
312282,1,2025,9660599.3
307751,1,2025,26734013.09
311359,1,2025,20740389.38
309087,1,2025,16711245.28
305928,1,2025,1621567.86
306126,1,2025,43748678.28
310247,1,2025,67168473.46
312592,1,2025,25704190.69
311618,1,2025,26637627.99
311961,1,2025,32952688.4
311146,1,2025,16579706.97
340782,1,2025,164452269.46
342157,1,2025,2544526.85
342955,1,2025,935937.41
341941,1,2025,4217950.77
342084,1,2025,322176162.17
342807,1,2025,38513434.5
343129,1,2025,6805431.69
343331,1,2025,20913505.93
343684,1,2025,13146366.8
343889,1,2025,1326993867.4
340162,1,2025,1349689.81
342386,1,2025,8622727.49
343731,1,2025,233143699.37
337668,1,2025,140377218.56
338346,1,2025,16994463.06
339679,1,2025,1603725432.27
342203,1,2025,4347354.33
343153,1,2025,3386245.5
345709,1,2025,29741042.65
346004,1,2025,4283389.41
347795,1,2025,1377650.17
348180,1,2025,99279266.97
344397,1,2025,90339321.23
344800,1,2025,76860965.34
345458,1,2025,15986586.53
346951,1,2025,15655349.67
347604,1,2025,2027886.48
344788,1,2025,2827472.18
344915,1,2025,1008771.89
346659,1,2025,1821923779.06
349682,1,2025,71064789.46
350141,1,2025,338708539.61
347825,1,2025,2540263.96
345741,1,2025,1343672.78
346209,1,2025,30302387.0
348295,1,2025,262978468.78
348830,1,2025,55073479.63
347108,1,2025,11836322.2
347655,1,2025,26362019.42
344451,1,2025,4738924.19
345091,1,2025,14961508.1
346870,1,2025,2233707.87
348244,1,2025,21599507.87
345598,1,2025,54264277.3
348082,1,2025,67637898.84
344362,1,2025,48340989.73
345318,1,2025,4458242.11
345776,1,2025,13843328.11
346926,1,2025,339345947.14
347736,1,2025,9167721.04
349712,1,2025,78313550.58
344729,1,2025,35761778.94
346276,1,2025,69841949.11
347507,1,2025,48951221.72
349534,1,2025,27033523.41
344885,1,2025,352427564.39
348261,1,2025,11090679.98
348520,1,2025,218357384.43
423718,1,2025,4823111.7
423564,1,2025,182561.22
424170,1,2025,240338.68
423815,1,2025,5582.14
423629,1,2025,3307898.92
424048,1,2025,609816.24
423432,1,2025,848570.21
423645,1,2025,252458.74
423661,1,2025,22232223.09
423912,1,2025,125920.19
423700,1,2025,1940.05
423548,1,2025,2745276.81
300730,1,2025,894511.87
303178,1,2025,16312706.45
303844,1,2025,9999084.13
304344,1,2025,21327551.93
300136,1,2025,28729013.43
301949,1,2025,164878813.67
304468,1,2025,29450789.28
305227,1,2025,22751546.13
302627,1,2025,9249631.6
304701,1,2025,748372943.59
301728,1,2025,13746674.5
304123,1,2025,12214557.38
303623,1,2025,192029482.97
303267,1,2025,103538271.68
303976,1,2025,376347317.08
306754,1,2025,9584541.37
306886,1,2025,128408414.77
309907,1,2025,34555131.88
311847,1,2025,84920061.47
312347,1,2025,36898177.25
305472,1,2025,23403090.78
306045,1,2025,2400976.28
310239,1,2025,5737112.64
310522,1,2025,47082680.13
311375,1,2025,50162582.39
308811,1,2025,8909998.65
309222,1,2025,502737234.24
312126,1,2025,523884337.14
310981,1,2025,3106742.67
306100,1,2025,37615752.31
306762,1,2025,41616243.03
311294,1,2025,40847753.3
312363,1,2025,1185440919.63
306398,1,2025,135438392.8
307319,1,2025,60966577.25
309028,1,2025,3091834.96
422681,1,2025,23867702.76
423319,1,2025,13661040.54
421766,1,2025,13248066.98
422355,1,2025,868650.49
423408,1,2025,376454.29
422151,1,2025,4131747.65
422746,1,2025,506659.62
422835,1,2025,2922346.6
421871,1,2025,2341437.47
422070,1,2025,13257333.35
423173,1,2025,66088065.98
422304,1,2025,1577022.52
423335,1,2025,10834023.47
