CNPJ,Razao_Social,Trimestre,Ano,ValorDespesas,RegistroANS,Modalidade,UF,CNPJ_Valido,Nome_Valido,Valor_Valido
93507895000136,POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,1,2025,124677.97,316903,Medicina de Grupo,RS,True,True,True
85246916000189,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1,2025,9578642.82,318213,Cooperativa Médica,SC,True,True,True
02597394000132,UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO,1,2025,50566553.02,314099,Cooperativa Médica,MT,True,True,True
64327059000171,UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,11037437.84,315648,Cooperativa Médica,MG,True,True,True
87306361000149,UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1,2025,30683296.16,313211,Cooperativa Médica,RS,True,True,True
02172353000102,CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE,1,2025,17771323.75,314251,Autogestão,RN,True,True,True
41905498000119,UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA,1,2025,8298927.19,315494,Cooperativa Médica,MG,True,True,True
44863959000126,UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO,1,2025,106013723.71,315796,Cooperativa Médica,SP,True,True,True
05868278000107,UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.,1,2025,628048750.62,317144,Cooperativa Médica,CE,True,True,True
71499792000139,UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA,1,2025,8922170.38,317896,Cooperativa Médica,MG,True,True,True
25064148000110,COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA,1,2025,11311383.14,313084,Cooperativa Médica,TO,True,True,True
00571628000147,DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.,1,2025,806568.16,314366,Odontologia de Grupo,SP,True,True,True
